row,aggressors_activations,reads,median_of_time,bitflips
14029,4,2,9319,0
14030,4,2,8515,0
14031,4,2,8751,0
14032,4,2,12427,0
14033,4,2,8508,0
14034,4,2,14003,0
14035,4,2,13807,0
14036,4,2,8660,0
14037,4,2,8426,0
14038,4,2,8477,0
14039,4,2,8241,0
14040,4,2,14014,0
14041,4,2,8434,0
14042,4,2,9061,0
14043,4,2,15934,0
14044,4,2,8537,0
14045,4,2,8419,0
14046,4,2,8100,0
14047,4,2,8432,0
14048,4,2,18083,0
14049,4,2,11085,0
14050,4,2,22985,0
14051,4,2,9103,0
14052,4,2,15220,0
14053,4,2,8783,0
14054,4,2,8501,0
14055,4,2,8650,0
14056,4,2,8612,0
14057,4,2,13420,0
14058,4,2,8094,0
14059,4,2,14247,0
14060,4,2,8044,0
14061,4,2,12351,0
14062,4,2,8311,0
14063,4,2,8645,0
14064,4,2,8304,0
14065,4,2,8597,0
14066,4,2,8042,0
14067,4,2,12895,0
14068,4,2,8126,0
14069,4,2,8317,0
14070,4,2,8438,0
14071,4,2,8810,0
14072,4,2,8216,0
14073,4,2,8917,0
14074,4,2,12643,0
14075,4,2,8574,0
14076,4,2,13258,0
14077,4,2,8282,0
14078,4,2,12827,0
14079,4,2,8574,0
14080,4,2,8161,0
14081,4,2,8245,0
14082,4,2,8150,0
14083,4,2,8282,0
14084,4,2,8366,0
14085,4,2,8144,0
14086,4,2,8391,0
14087,4,2,8098,0
14088,4,2,8771,0
14089,4,2,8562,0
14090,4,2,8674,0
14091,4,2,8229,0
14092,4,2,8587,0
14093,4,2,11827,0
14094,4,2,8060,0
14095,4,2,8503,0
14096,4,2,8106,0
14097,4,2,15861,0
14098,4,2,8488,0
14099,4,2,8337,0
14100,4,2,8413,0
14101,4,2,11962,0
14102,4,2,8128,0
14103,4,2,8544,0
14104,4,2,8157,0
14105,4,2,13047,0
14106,4,2,8123,0
14107,4,2,8106,0
14108,4,2,8248,0
14109,4,2,8165,0
14110,4,2,8167,0
14111,4,2,7934,0
14112,4,2,8334,0
14113,4,2,12920,0
14114,4,2,8551,0
14115,4,2,8714,0
14116,4,2,11731,0
14117,4,2,8065,0
14118,4,2,8496,0
14119,4,2,8234,0
14120,4,2,14242,0
14121,4,2,8594,0
14122,4,2,8349,0
14123,4,2,15302,0
14124,4,2,8291,0
14125,4,2,8473,0
14126,4,2,13334,0
14127,4,2,8466,0
14128,4,2,8418,0
14129,4,2,11428,0
14130,4,2,8254,0
14131,4,2,11106,0
14132,4,2,8165,0
14133,4,2,9308,0
14134,4,2,15280,0
14135,4,2,8207,0
14136,4,2,12406,0
14137,4,2,8202,0
14138,4,2,12706,0
14139,4,2,8331,0
14140,4,2,8288,0
14141,4,2,8848,0
14142,4,2,8502,0
14143,4,2,12454,0
14144,4,2,7946,0
14145,4,2,8031,0
14146,4,2,8255,0
14147,4,2,12589,0
14148,4,2,8168,0
14149,4,2,12951,0
14150,4,2,8362,0
14151,4,2,8269,0
14152,4,2,7967,0
14153,4,2,12578,0
14154,4,2,8147,0
14155,4,2,12161,0
14156,4,2,8132,0
14157,4,2,12038,0
14158,4,2,8334,0
14159,4,2,8470,0
14160,4,2,8007,0
14161,4,2,11958,0
14162,4,2,8440,0
14163,4,2,8069,0
14164,4,2,12131,0
14165,4,2,8007,0
14166,4,2,11126,0
14167,4,2,8214,0
14168,4,2,8249,0
14169,4,2,8158,0
14170,4,2,8553,0
14171,4,2,8060,0
14172,4,2,8286,0
14173,4,2,8129,0
14174,4,2,8069,0
14175,4,2,8172,0
14176,4,2,13753,0
14177,4,2,8002,0
14178,4,2,8378,0
14179,4,2,8187,0
14180,4,2,8175,0
14181,4,2,12260,0
14182,4,2,8226,0
14183,4,2,8382,0
14184,4,2,8172,0
14185,4,2,13744,0
14186,4,2,8551,0
14187,4,2,14498,0
14188,4,2,8705,0
14189,4,2,8410,0
14190,4,2,12800,0
14191,4,2,7974,0
14192,4,2,8095,0
14193,4,2,8571,0
14194,4,2,13268,0
14195,4,2,8721,0
14196,4,2,8550,0
14197,4,2,8368,0
14198,4,2,9165,0
14199,4,2,9000,0
14200,4,2,14579,0
14201,4,2,8635,0
14202,4,2,8650,0
14203,4,2,9492,0
14204,4,2,8311,0
14205,4,2,13274,0
14206,4,2,8475,0
14207,4,2,8937,0
14208,4,2,8334,0
14209,4,2,12953,0
14210,4,2,8980,0
14211,4,2,8014,0
14212,4,2,13282,0
14213,4,2,9045,0
14214,4,2,17548,0
14215,4,2,9152,0
14216,4,2,16686,0
14217,4,2,9206,0
14218,4,2,17067,0
14219,4,2,9407,0
14220,4,2,8516,0
14221,4,2,8198,0
14222,4,2,8359,0
14223,4,2,12476,0
14224,4,2,8115,0
14225,4,2,8250,0
14226,4,2,8389,0
14227,4,2,8442,0
14228,4,2,8228,0
14229,4,2,12301,0
14230,4,2,8416,0
14231,4,2,8439,0
14232,4,2,8057,0
14233,4,2,8857,0
14234,4,2,8139,0
14235,4,2,8226,0
14236,4,2,8221,0
14237,4,2,11729,0
14238,4,2,11786,0
14239,4,2,7867,0
14240,4,2,8075,0
14241,4,2,8163,0
14242,4,2,12358,0
14243,4,2,7847,0
14244,4,2,8090,0
14245,4,2,8166,0
14246,4,2,8161,0
14247,4,2,11501,0
14248,4,2,7896,0
14249,4,2,11580,0
14250,4,2,11868,0
14251,4,2,8141,0
14252,4,2,8348,0
14253,4,2,7932,0
14254,4,2,8137,0
14255,4,2,8131,0
14256,4,2,8032,0
14257,4,2,7830,0
14258,4,2,10956,0
14259,4,2,8463,0
14260,4,2,8190,0
14261,4,2,8024,0
